FECHA DE EMISION,PAGADOR,Nº DE CUIT,Razón Social,Establecimiento,Total Presentado,Total Descuento,Saldo,IVA 21%,"IVA 10,5%",Retención IB,Percepción AFIP,Archivo PDF
31/03/2025,007 BANCO GALICIA,30-50000173-5,9 REINAS SA,RIBS INFANTA,"331.600,00","12.741,88",318858.12,792.45,No encontrado,8175.83,No encontrado,comprobante-MEN-COM00610518010071272025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30-50000173-5,9 REINAS SA,RIBS INFANTA,"1.764.700,00","97.274,08",1667425.92,9264.63,No encontrado,42754.45,1137.5,comprobante-MEN-COM00610518270071272025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30-50000173-5,9 REINAS SA,RIBS INFANTA,"11.949.174,71","536.590,57",11412584.14,41443.7,No encontrado,292630.07,5164.58,comprobante-MEN-COM00610518350071272025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,RABBLE SA,CONCHINCHINA,"234.695,00","12.961,01",221733.99,1232.14,No encontrado,5685.48,176.02,comprobante-MEN-COM00613160630073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,PARRILLA POLO,"3.329.950,00","207.311,78",3122638.22,21274.58,No encontrado,81817.89,2911.77,comprobante-MEN-COM00634153430073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,PARRILLA POLO,"172.000,00","9.498,70",162501.3,903.0,No encontrado,4166.7,129.0,comprobante-MEN-COM00634153840073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30 50000173 5,MINCE BAR SA,PARRILLA POLO,"493.650,00","41.617,55",452032.45,5003.89,No encontrado,12113.59,671.95,comprobante-MEN-COM00634153920073382025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30-50000173-5,ARAUKEN SA,NARDA COMEDOR,"49.455.372,50","2.220.135,14",47235237.36,171817.35,No encontrado,1206228.22,23910.29,comprobante-MEN-COM00690514720071272025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30-50000173-5,ARAUKEN SA,NARDA COMEDOR,"165.710,00","6.112,32",159597.68,367.76,No encontrado,3993.26,No encontrado,comprobante-MEN-COM00690514800071272025-03-31.pdf
31/03/2025,007 BANCO GALICIA,30-50000173-5,ARAUKEN SA,NARDA COMEDOR,"9.479.023,33","522.851,43",8956171.9,49708.36,No encontrado,229369.71,7066.58,comprobante-MEN-COM00690515140071272025-03-31.pdf
